app_ref,council_id,lat,lng,applicant1,applicant2,applicant3,received_date,decision_date,address1,address2,address3,address4,decision,status,details,url,tweet_id
3895/10,3,,,,,,2010-11-04,2010-12-17,"North Wall Quay, To The South Of The O2 Theatre, Dublin 1",,,,N,2,PROTECTED STRUCTURE - raising of the Kittiwake Lighthouse Ship onto,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3895/10,1
3896/10,3,53.3206322,-6.2462199,,,,2010-11-04,2011-01-07,"54, Hollybank Avenue Lower, Ranelagh, Dublin 6",,,,C,9,Single storey kitchen extension to the rear of the existing house,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3896/10,1
3897/10,3,,,,,,2010-11-04,2010-12-17,"Apt 49, Wintergarden, Pearse Street, Dublin 2",,,,C,9,"Conversion of existing attic space to accommodate additonal storage, living",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3897/10,1
3898/10,3,53.3195295,-6.268848,,,,2010-11-04,2010-12-17,"25, Rathgar Road, Dublin 6",,,,R,9,PROTECTED STRUCTURE - Two storey extension on the south side of the house,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3898/10,1
3899/10,3,53.3614343,-6.1922641,,,,2010-11-04,2011-01-06,"26, Vernon Grove, Clontarf, Dublin 3",,,,N,2,New single storey extension to rear of existing dwelling and a new two storey,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3899/10,1
3901/10,3,53.3980576,-6.2535273,,,,2010-11-05,2010-12-16,"404, Coultry Road, Ballymun, Dublin 9",,,,R,9,Single storey extension at rear & all associated site works,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3901/10,1
3902/10,3,53.3661039,-6.2359248,,,,2010-11-05,2011-01-07,"101, Brian Road, Marino, Dublin 3",,,,R,9,"RETENTION: Removal of vehicular gate, garden wall & other works",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3902/10,1
3903/10,3,,,,,,2010-11-05,2011-01-07,"208, Killester Avenue, Killester, Dublin 5",,,,C,9,Formation of new vehicular entrance,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3903/10,1
3904/10,3,53.3614202,-6.2435245,,,,2010-11-05,2010-12-17,"55, Tolka Road, Off Cloniffe Road, Ballybough, Dublin 3",,,,C,9,Removal of existing railings & gate,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3904/10,1
3905/10,3,53.3465574,-6.260172,,,,2010-11-05,2010-12-20,"2, Aston Quay, Dublin 2",,,,C,9,RETENTION - two no. wall mounted air conditioning condenser units at ground,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3905/10,1
